CustomerID,Age,Income,ExperienceYears,Gender,City,Education,RandomNoise,Purchased
10484,18.0,40595.494133183485,-2.2065898277692995,Female,Berlin,High School,0.03367640387446402,0
10466,33.0,36151.50130833643,15.99264069664337,Female,New York,,0.3245118001753421,0
10022,19.0,,1.6664013149011385,Male,Tokyo,PhD,0.816779466505636,1
10184,56.0,42042.48278584209,37.87952614806697,Female,Tokyo,Master,0.7011395944174736,0
10487,21.0,41562.99836158598,4.827414362721531,Male,New York,High School,0.557337169573008,0
10424,30.0,18771.058881744168,7.792184184600919,Male,Tokyo,Master,0.7819599771579592,0
10232,,57513.75781436571,6.045745989156655,Female,Berlin,PhD,0.9327105081327614,0
10460,22.0,57764.88530703685,2.0521673648019787,Male,Berlin,Master,0.7962414505413685,1
10087,42.0,57469.974368681746,21.60510826638464,Male,New York,Master,0.5047955983045281,1
10356,,44963.229510648074,29.107309489920024,Male,London,Master,0.6920736470243689,0
10170,61.0,42046.13572441339,42.75354646482229,Female,Tokyo,Bachelor,0.7066298698787096,0
10398,,42132.196005803395,33.75494981800694,Female,Berlin,Bachelor,0.3754689284665004,1
10269,49.0,53816.31264951819,31.782021297471722,Female,Tokyo,Master,0.40967105337599263,0
10301,50.0,53723.30879450504,33.29012494157321,Female,London,High School,0.50313247255154,1
10451,20.0,57088.96223619564,6.917350416332202,Male,London,High School,0.42485084286808694,0
10139,44.0,64573.56426431533,23.89963755518248,Male,Berlin,PhD,0.518700994380595,1
10252,18.0,37093.799520740715,-3.677296989007024,Male,New York,Master,0.7054608302834863,0
10060,57.0,42934.425415725156,39.49935662463917,Female,Tokyo,,0.19524060295649204,1
10049,37.0,39842.574327318325,16.696607304687614,Male,New York,High School,0.9329248625696721,0
10377,59.0,41797.115881394115,47.872827717772225,Female,Berlin,Master,0.48509465997954015,0
10120,41.0,43249.01792781134,23.57329720405971,Male,Berlin,Bachelor,0.285758324592706,1
10436,29.0,54617.026533380886,7.437204742911462,Male,London,Master,0.9082284887003229,1
10018,41.0,61209.40407684893,23.28836233082295,Male,Berlin,Bachelor,0.4226291970136091,0
10419,47.0,28873.080554546606,30.629894087109165,Female,London,Bachelor,0.7728095732903374,0
10425,59.0,75446.84552435057,46.24873022956082,Female,Tokyo,Master,0.7517469923958404,1
10432,54.0,51713.41472993059,33.979528127268395,Male,Tokyo,High School,0.1698810060507353,0
